""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"Otu000269"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prolixibacteraceae"	"Draconibacterium"
"Otu000283"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prolixibacteraceae"	"Prolixibacteraceae_unclassified"
"Otu000167"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidetes_BD2-2"	"Bacteroidetes_BD2-2_ge"
"Otu000483"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidales_unclassified"	"Bacteroidales_unclassified"
"Otu000268"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"uncultured"
"Otu001417"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"uncultured"
"Otu000339"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"uncultured"
"Otu000249"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"uncultured"
"Otu000544"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"uncultured"
"Otu000454"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"uncultured"
"Otu000444"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"uncultured"
"Otu000494"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	"uncultured"
"Otu000566"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	"uncultured"
"Otu000349"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Marinifilaceae"	"Marinifilum"
"Otu001483"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Marinifilaceae"	"Marinifilum"
"Otu000733"	"Bacteria"	"Bdellovibrionota"	"Oligoflexia"	"0319-6G20"	"0319-6G20_fa"	"0319-6G20_ge"
"Otu000587"	"Bacteria"	"WPS-2"	"WPS-2_cl"	"WPS-2_or"	"WPS-2_fa"	"WPS-2_ge"
"Otu000216"	"Bacteria"	"WPS-2"	"WPS-2_cl"	"WPS-2_or"	"WPS-2_fa"	"WPS-2_ge"
"Otu001552"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Vicinamibacterales"	"Vicinamibacterales_unclassified"	"Vicinamibacterales_unclassified"
"Otu001241"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup_17"	"Subgroup_17_fa"	"Subgroup_17_ge"
"Otu001068"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup_17"	"Subgroup_17_fa"	"Subgroup_17_ge"
"Otu000447"	"Bacteria"	"Planctomycetota"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"
"Otu000783"	"Bacteria"	"Planctomycetota"	"vadinHA49"	"vadinHA49_or"	"vadinHA49_fa"	"vadinHA49_ge"
"Otu000155"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_23"
"Otu000151"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup_9"	"Subgroup_9_fa"	"Subgroup_9_ge"
"Otu000814"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup_9"	"Subgroup_9_fa"	"Subgroup_9_ge"
"Otu000260"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup_9"	"Subgroup_9_fa"	"Subgroup_9_ge"
"Otu000795"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup_9"	"Subgroup_9_fa"	"Subgroup_9_ge"
"Otu000211"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup_9"	"Subgroup_9_fa"	"Subgroup_9_ge"
"Otu001140"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup_9"	"Subgroup_9_fa"	"Subgroup_9_ge"
"Otu000830"	"Bacteria"	"Acidobacteriota"	"AT-s3-28"	"AT-s3-28_or"	"AT-s3-28_fa"	"AT-s3-28_ge"
"Otu000652"	"Bacteria"	"Acidobacteriota"	"AT-s3-28"	"AT-s3-28_or"	"AT-s3-28_fa"	"AT-s3-28_ge"
"Otu000665"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu001321"	"Bacteria"	"Nitrospinota"	"Nitrospinia"	"Nitrospinales"	"Nitrospinaceae"	"Nitrospina"
"Otu000854"	"Bacteria"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"
"Otu000772"	"Bacteria"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"
"Otu001415"	"Bacteria"	"Latescibacterota"	"Latescibacteria"	"Latescibacterales"	"Latescibacteraceae"	"Latescibacteraceae_ge"
"Otu000188"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu000273"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu000047"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu000083"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu000504"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu000621"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu000543"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu000264"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu000244"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu000666"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu000231"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu001510"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu001025"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu000792"	"Bacteria"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"
"Otu001319"	"Bacteria"	"Acidobacteriota"	"Aminicenantia"	"Aminicenantales"	"Aminicenantales_fa"	"Aminicenantales_ge"
"Otu000541"	"Bacteria"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"
"Otu000787"	"Bacteria"	"Planctomycetota"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"
"Otu000367"	"Bacteria"	"Planctomycetota"	"Pla4_lineage"	"Pla4_lineage_or"	"Pla4_lineage_fa"	"Pla4_lineage_ge"
"Otu000503"	"Bacteria"	"Planctomycetota"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"
"Otu000966"	"Bacteria"	"Planctomycetota"	"Pla4_lineage"	"Pla4_lineage_or"	"Pla4_lineage_fa"	"Pla4_lineage_ge"
"Otu001067"	"Bacteria"	"Planctomycetota"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"
"Otu001127"	"Bacteria"	"Planctomycetota"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"	"Planctomycetota_unclassified"
"Otu000642"	"Bacteria"	"Planctomycetota"	"OM190"	"OM190_or"	"OM190_fa"	"OM190_ge"
"Otu001650"	"Bacteria"	"Planctomycetota"	"OM190"	"OM190_or"	"OM190_fa"	"OM190_ge"
"Otu000589"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"uncultured"
"Otu001220"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"SM1A02"
"Otu001188"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"SM1A02"
"Otu000981"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"Urania-1B-19_marine_sediment_group"
"Otu000403"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"Urania-1B-19_marine_sediment_group"
"Otu000860"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"Urania-1B-19_marine_sediment_group"
"Otu000401"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"Urania-1B-19_marine_sediment_group"
"Otu001228"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"uncultured"
"Otu001365"	"Bacteria"	"Planctomycetota"	"Pla4_lineage"	"Pla4_lineage_or"	"Pla4_lineage_fa"	"Pla4_lineage_ge"
"Otu001105"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"4572-13"	"4572-13_ge"
"Otu001091"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"4572-13"	"4572-13_ge"
"Otu001211"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"4572-13"	"4572-13_ge"
"Otu000305"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"4572-13"	"4572-13_ge"
"Otu001629"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"SG8-4"	"SG8-4_ge"
"Otu000773"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"SG8-4"	"SG8-4_ge"
"Otu001429"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"MSBL9_unclassified"	"MSBL9_unclassified"
"Otu001691"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"SG8-4"	"SG8-4_ge"
"Otu000719"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"SG8-4"	"SG8-4_ge"
"Otu001517"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"SG8-4"	"SG8-4_ge"
"Otu000658"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"SG8-4"	"SG8-4_ge"
"Otu000524"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Pirellulaceae_unclassified"
"Otu000067"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Pirellulaceae_unclassified"
"Otu000718"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Pirellulaceae_unclassified"
"Otu001121"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"uncultured"
"Otu000929"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Pir4_lineage"
"Otu001661"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Pirellulaceae_unclassified"
"Otu000586"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Pirellulaceae_unclassified"
"Otu000570"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Rhodopirellula"
"Otu000146"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Rhodopirellula"
"Otu000056"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Rhodopirellula"
"Otu000442"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Pirellulaceae_unclassified"
"Otu000344"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Pir4_lineage"
"Otu001499"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"uncultured"
"Otu000446"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"uncultured"
"Otu000293"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"uncultured"
"Otu001002"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"uncultured"
"Otu001523"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"uncultured"
"Otu000125"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"uncultured"
"Otu000569"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"uncultured"
"Otu000880"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"Gimesiaceae_unclassified"
"Otu001193"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"uncultured"
"Otu000897"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"uncultured"
"Otu000680"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"uncultured"
"Otu001037"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"uncultured"
"Otu000983"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"uncultured"
"Otu001190"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"uncultured"	"uncultured_ge"
"Otu001110"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"uncultured"	"uncultured_ge"
"Otu001302"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"uncultured"	"uncultured_ge"
"Otu000764"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Planctomicrobium"
"Otu000465"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Planctomicrobium"
"Otu000158"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Planctomycetales_unclassified"	"Planctomycetales_unclassified"
"Otu000343"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Rubinisphaeraceae_unclassified"
"Otu000769"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Fuerstia"
"Otu000478"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Fuerstia"
"Otu001174"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Fuerstia"
"Otu000629"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Rubinisphaeraceae_unclassified"
"Otu000753"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"uncultured"
"Otu000394"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Rubinisphaeraceae_unclassified"
"Otu000253"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"uncultured"
"Otu000080"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"uncultured"
"Otu000501"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"uncultured"
"Otu000175"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"uncultured"
"Otu000996"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"uncultured"
"Otu000254"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"uncultured"
"Otu000120"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"uncultured"
"Otu000859"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Rubinisphaeraceae_unclassified"
"Otu000376"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Gimesiaceae"	"uncultured"
"Otu000331"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_23"
"Otu000094"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_23"
"Otu000319"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_23"
"Otu000065"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_23"
"Otu000623"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_23"
"Otu000420"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_23"
"Otu001010"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_23"
"Otu000029"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_23"
"Otu001259"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_23"
"Otu000640"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_23"
"Otu000802"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_23"
"Otu001461"	"Bacteria"	"Acidobacteriota"	"Holophagae"	"Acanthopleuribacterales"	"Acanthopleuribacteraceae"	"Acanthopleuribacter"
"Otu000071"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu000235"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu000729"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu000462"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu001497"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu000641"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu000107"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu000397"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu000995"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu001227"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu000688"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu000050"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu000387"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu000259"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu000360"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup_10"
"Otu001246"	"Bacteria"	"Acidobacteriota"	"Subgroup_21"	"Subgroup_21_or"	"Subgroup_21_fa"	"Subgroup_21_ge"
"Otu000750"	"Bacteria"	"Acidobacteriota"	"Subgroup_21"	"Subgroup_21_or"	"Subgroup_21_fa"	"Subgroup_21_ge"
"Otu000743"	"Bacteria"	"Acidobacteriota"	"Subgroup_21"	"Subgroup_21_or"	"Subgroup_21_fa"	"Subgroup_21_ge"
"Otu000582"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup_17"	"Subgroup_17_fa"	"Subgroup_17_ge"
"Otu000038"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup_17"	"Subgroup_17_fa"	"Subgroup_17_ge"
"Otu000991"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup_17"	"Subgroup_17_fa"	"Subgroup_17_ge"
"Otu000580"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu000195"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu000266"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu000392"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu001398"	"Bacteria"	"Verrucomicrobiota"	"Omnitrophia"	"Omnitrophales"	"Omnitrophaceae"	"Candidatus_Omnitrophus"
"Otu001413"	"Bacteria"	"Verrucomicrobiota"	"Omnitrophia"	"Omnitrophales"	"Omnitrophales_unclassified"	"Omnitrophales_unclassified"
"Otu001434"	"Bacteria"	"Verrucomicrobiota"	"Omnitrophia"	"Omnitrophales"	"koll11"	"koll11_ge"
"Otu001029"	"Bacteria"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"
"Otu001687"	"Bacteria"	"Verrucomicrobiota"	"Omnitrophia"	"Omnitrophales"	"Omnitrophaceae"	"Candidatus_Omnitrophus"
"Otu000515"	"Bacteria"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"
"Otu000486"	"Bacteria"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"
"Otu000998"	"Bacteria"	"Acidobacteriota"	"Subgroup_26"	"Subgroup_26_or"	"Subgroup_26_fa"	"Subgroup_26_ge"
"Otu000920"	"Bacteria"	"Latescibacterota"	"Latescibacterota_cl"	"Latescibacterota_or"	"Latescibacterota_fa"	"Latescibacterota_ge"
"Otu001153"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu001223"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu001380"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu000955"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu001684"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu000379"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu001004"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu000910"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu001463"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu000369"	"Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22_or"	"Subgroup_22_fa"	"Subgroup_22_ge"
"Otu000330"	"Bacteria"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"
"Otu000939"	"Bacteria"	"Firmicutes"	"Bacilli"	"Izemoplasmatales"	"Izemoplasmatales_fa"	"Izemoplasmatales_ge"
"Otu001706"	"Bacteria"	"Firmicutes"	"Bacilli"	"Mycoplasmatales"	"Mycoplasmataceae"	"Candidatus_Bacilloplasma"
"Otu000532"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacilli_unclassified"	"Bacilli_unclassified"	"Bacilli_unclassified"
"Otu000782"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacilli_unclassified"	"Bacilli_unclassified"	"Bacilli_unclassified"
"Otu000375"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillales_unclassified"	"Lactobacillales_unclassified"
